year,annual_precip,annual_tmax,annual_tmin,annual_tavg,season_tavg,season_tmin,county_Madera,county_Monterey,county_Napa,county_Sacramento,county_San Joaquin,county_San Luis Obispo,county_Santa Barbara,county_Sonoma,county_Yolo
2040,10.083213202855736,73.43691,44.48327,57.83267180249631,65.40062256454152,47.871351210760295,0,0,0,0,0,0,0,1,0
2041,12.773062686019689,70.40161,43.913246,56.59858065105717,64.1020919465362,47.59082482891964,0,0,0,0,0,0,0,1,0
2042,22.025923720779417,72.12613,45.68056,57.89567875151638,65.46691949273378,48.46057452717153,0,0,0,0,0,0,0,1,0
2043,16.288935312951207,72.82113,46.21131,58.3434905694941,65.93811431174743,48.721772962960074,0,0,0,0,0,0,0,1,0
2044,32.3425478412956,70.305145,46.63566,57.6908146334538,65.25135816282335,48.93060867888447,0,0,0,0,0,0,0,1,0
2045,23.390797138684988,70.008514,45.808056,57.25152516904163,64.7891307017147,48.52331923893658,0,0,0,0,0,0,0,1,0
2046,24.22095130896136,69.80708,45.733788,57.154581988777835,64.68712552354569,48.48676966676673,0,0,0,0,0,0,0,1,0
2047,31.90765592635989,72.25418,46.593304,58.31464831747946,65.90776602889201,48.909763985627265,0,0,0,0,0,0,0,1,0
2048,23.07632591366708,72.65364,46.310463,58.32931506401271,65.92319861619947,48.770569210729725,0,0,0,0,0,0,0,1,0
2049,19.66073047047525,72.43227,46.586823,58.37057224758189,65.96661009031527,48.90657448574531,0,0,0,0,0,0,0,1,0
2050,30.577338671919104,72.611725,46.535957,58.408620541684535,66.00664511916833,48.881541759160626,0,0,0,0,0,0,0,1,0
2051,17.386153694295285,73.05701,46.10859,58.378696810965394,65.97515888697353,48.67122128453483,0,0,0,0,0,0,0,1,0
2052,12.352578676422985,72.70819,45.398815,57.97088166118612,65.54604920746787,48.321919127659065,0,0,0,0,0,0,0,1,0
2053,13.3685229127644,71.89932,45.02259,57.549398619412656,65.10255795151437,48.13676720772587,0,0,0,0,0,0,0,1,0
2054,23.59053100319981,74.25935,45.476326,58.51328472024554,66.11677445630144,48.36006468009695,0,0,0,0,0,0,0,1,0
2055,30.846007457317118,71.39258,46.75112,58.096298785440176,65.67801512884748,48.98743010403028,0,0,0,0,0,0,0,1,0
2056,19.74659658091083,70.40073,44.289085,56.753459910566264,64.26505840191676,47.77578678635408,0,0,0,0,0,0,0,1,0
2057,14.807338220416009,70.5112,43.41227,56.42780786587285,63.92240206704449,47.3442790963382,0,0,0,0,0,0,0,1,0
2058,16.833426148974894,72.40145,45.08911,57.74208556243371,65.3053062614029,48.169503750257476,0,0,0,0,0,0,0,1,0
2059,41.318872449296414,69.99835,47.576855,57.978446777627134,65.55400934502819,49.39379975146477,0,0,0,0,0,0,0,1,0
2060,36.738343370446266,72.948296,48.92801,59.50695019672932,67.16232530055177,50.05874477738633,0,0,0,0,0,0,0,1,0
2061,12.997755363686084,71.16615,44.957497,57.28127820502751,64.8204373261575,48.10473293588265,0,0,0,0,0,0,0,1,0
2062,17.60071997147441,73.10744,47.359436,58.91171461060261,66.53600881443927,49.286801159452125,0,0,0,0,0,0,0,1,0
