year,annual_precip,annual_tmax,annual_tmin,annual_tavg,season_tavg,season_tmin,county_Madera,county_Monterey,county_Napa,county_Sacramento,county_San Joaquin,county_San Luis Obispo,county_Santa Barbara,county_Sonoma,county_Yolo
2039,8.562273151568323,76.534836,50.1331,61.184617500459986,68.92759390180561,50.65180671423874,0,0,0,0,1,0,0,0,0
2040,3.468218511702418,77.637924,49.832897,61.423641649707974,69.17909896760179,50.50406756394382,0,0,0,0,1,0,0,0,0
2041,3.860276370330155,75.22653,48.65895,60.14550828795623,67.83422642541294,49.92633205739902,0,0,0,0,1,0,0,0,0
2042,6.239150081983991,77.40199,50.500534,61.62164916692302,69.38744567148919,50.83263231208241,0,0,0,0,1,0,0,0,0
2043,4.110001912332661,78.34274,51.066444,62.16484001437427,69.95899984397731,51.111134067705756,0,0,0,0,1,0,0,0,0
2044,10.53332956613861,76.1523,51.863884,61.773316992908,69.54703300470857,51.50357887342449,0,0,0,0,1,0,0,0,0
2045,8.046018388606756,75.814514,51.490295,61.50793021797088,69.26778875887821,51.31972421034808,0,0,0,0,1,0,0,0,0
2046,6.5030803835625575,75.53937,50.769424,61.11977671601641,68.85936738239715,50.96496136982933,0,0,0,0,1,0,0,0,0
2047,8.070588334040567,78.30072,51.045513,62.142371962806855,69.9353585976616,51.10083327739113,0,0,0,0,1,0,0,0,0
2048,6.285283969953954,77.934715,51.20877,62.08934199832589,69.87955961355094,51.181177079617285,0,0,0,0,1,0,0,0,0
2049,5.842480062145739,77.1776,50.790245,61.667424725102734,69.435611452261,50.975208025753126,0,0,0,0,1,0,0,0,0
2050,8.356089310081154,78.11006,51.774292,62.38051975089337,70.18594154210615,51.459487888480226,0,0,0,0,1,0,0,0,0
2051,5.526554345144816,77.46153,50.89824,61.80543734800256,69.58083056050731,51.028355694284414,0,0,0,0,1,0,0,0,0
2052,2.5031533790762723,78.44618,49.509186,61.55594721141811,69.31831301399751,50.3447594021962,0,0,0,0,1,0,0,0,0
2053,4.093571657263935,77.10849,48.888954,60.859717758327506,68.58572915182415,50.039524115854235,0,0,0,0,1,0,0,0,0
2054,6.396723478773236,79.02286,50.89264,62.31687360565548,70.11897204134193,51.02559976165999,0,0,0,0,1,0,0,0,0
2055,9.980463422344476,76.80763,51.931946,62.01705030320511,69.80349312572922,51.53707428168947,0,0,0,0,1,0,0,0,0
2056,5.346569575151391,76.79198,49.83586,61.14651106996446,68.8874977009021,50.505525747580634,0,0,0,0,1,0,0,0,0
2057,3.6743801774337888,76.644424,49.073082,60.783038081456404,68.50504555881746,50.13013918054547,0,0,0,0,1,0,0,0,0
2058,4.408095153706222,78.035515,51.040077,62.05286320243091,69.84117603603127,51.098158054222125,0,0,0,0,1,0,0,0,0
2059,11.244693756539672,75.856705,52.9311,62.11666345078519,69.90830768658056,52.028788764801796,0,0,0,0,1,0,0,0,0
2060,11.259290947794245,78.36208,54.019455,63.39038332019558,71.248536280929,52.5644018097055,0,0,0,0,1,0,0,0,0
2061,4.399919427737966,76.47386,49.58757,60.93932622131677,68.6694944608318,50.383334584845,0,0,0,0,1,0,0,0,0
2062,4.80880591304753,78.77693,52.149033,62.75466567843602,70.57962392281974,51.64390948626795,0,0,0,0,1,0,0,0,0
2063,6.670279642351046,77.40248,52.269333,62.35207642395975,70.15601301465648,51.7031128246106,0,0,0,0,1,0,0,0,0
2064,4.23255741474174,78.57022,52.323166,62.75854124573154,70.58370185724907,51.7296057033554,0,0,0,0,1,0,0,0,0
2065,4.080054346117638,77.45549,50.38908,61.59323821196647,69.35755120635602,50.7777823630247,0,0,0,0,1,0,0,0,0
2066,5.759998526438959,77.80052,51.22761,62.052964045378246,69.84128214460726,51.19044882437518,0,0,0,0,1,0,0,0,0
2067,4.013450255567171,76.93996,49.916668,61.2285655668187,68.97383676620211,50.54529385535115,0,0,0,0,1,0,0,0,0
2068,4.915765523199811,79.267746,51.68019,62.722599934908345,70.54588383019268,51.413177393511646,0,0,0,0,1,0,0,0,0
2069,4.3458335513359305,78.96782,51.198498,62.42503943001378,70.23278586667182,51.17612191177476,0,0,0,0,1,0,0,0,0
