year,annual_precip,annual_tmax,annual_tmin,annual_tavg,season_tavg,season_tmin,county_Madera,county_Monterey,county_Napa,county_Sacramento,county_San Joaquin,county_San Luis Obispo,county_Santa Barbara,county_Sonoma,county_Yolo
2069,6.836373677310347,76.12895,47.847176,60.10729647070632,67.79401933486638,49.5268330484234,0,0,1,0,0,0,0,0,0
2070,13.291653823252917,75.59776,48.91977,60.37534186507494,68.07606102295162,50.05468961938181,0,0,1,0,0,0,0,0,0
2071,3.1961043662449904,75.77513,46.40379,59.39495759403817,67.04448487732616,48.81649830430832,0,0,1,0,0,0,0,0,0
2072,8.958279086719527,76.388664,48.227135,60.349623939274544,68.04900020654073,49.7138225848601,0,0,1,0,0,0,0,0,0
2073,7.518759698821306,76.28325,48.4317,60.39939462745263,68.1013697275466,49.81449532723803,0,0,1,0,0,0,0,0,0
2074,10.339005794047416,75.42401,47.764446,59.84118339614996,67.51401086485993,49.48611906520571,0,0,1,0,0,0,0,0,0
2075,7.890717610791251,74.59416,48.602154,59.91398113602633,67.59060982113704,49.8983809950174,0,0,1,0,0,0,0,0,0
2076,6.102081735391505,76.77401,49.210136,60.88226183242158,68.60945039026882,50.197587678743425,0,0,1,0,0,0,0,0,0
2077,12.054595917832776,74.38289,48.03817,59.61161741003916,67.27245783089657,49.62082708336452,0,0,1,0,0,0,0,0,0
2078,15.2703790893732,74.12114,49.25628,60.028398474202184,67.71100159015569,50.22029656356872,0,0,1,0,0,0,0,0,0
2079,11.526924600591212,75.379845,48.8416,60.271364710501146,67.96665458354097,50.01621975272974,0,0,1,0,0,0,0,0,0
2080,6.934495852781161,74.32724,47.34768,59.30823046754501,66.95322919574085,49.281015669464125,0,0,1,0,0,0,0,0,0
2081,8.577231490845904,74.41277,48.65055,59.8742763755612,67.54883183165512,49.92219815846238,0,0,1,0,0,0,0,0,0
2082,9.623493945320694,76.422226,50.595566,61.33849733747896,69.0895087487193,50.87940048871897,0,0,1,0,0,0,0,0,0
2083,10.10046831684105,75.622314,48.833416,60.347769146652986,68.04704856382266,50.01219215405146,0,0,1,0,0,0,0,0,0
2084,10.576617433449178,75.22329,47.492424,59.662830474705736,67.32634504371215,49.352248653712415,0,0,1,0,0,0,0,0,0
2085,11.10608894686684,74.683365,47.701057,59.571306881391884,67.23004244236111,49.45492338428966,0,0,1,0,0,0,0,0,0
2086,5.396710146999434,77.02466,48.704216,60.75586299602184,68.47645149553247,49.948608851359275,0,0,1,0,0,0,0,0,0
2087,10.005042871673629,74.93512,48.18094,59.85227008252906,67.52567645511937,49.691088601362694,0,0,1,0,0,0,0,0,0
2088,12.185089944822192,74.1279,49.24639,60.02653963676595,67.70904569141837,50.215429389701654,0,0,1,0,0,0,0,0,0
2089,5.861192836079187,74.49462,47.160805,59.28615288950575,66.9299988119706,49.18904872139445,0,0,1,0,0,0,0,0,0
2090,8.060841297375708,74.1358,48.463943,59.70609817219448,67.3718720130079,49.830363101454004,0,0,1,0,0,0,0,0,0
2091,6.341709388592764,75.34183,48.753765,60.22259251234762,67.91533568984667,49.97299344164639,0,0,1,0,0,0,0,0,0
2092,6.717199581664949,75.86621,48.694714,60.37075749331644,68.07123727303187,49.943932624252604,0,0,1,0,0,0,0,0,0
2093,6.733673000258356,75.41857,47.373497,59.67798625867018,67.34229220409391,49.29372101099358,0,0,1,0,0,0,0,0,0
2094,4.130206797834858,76.33346,47.59954,60.07235056893233,67.75724869326959,49.40496373924783,0,0,1,0,0,0,0,0,0
2095,15.472989466211644,76.34604,49.377457,60.81052043922488,68.53396293900913,50.27993150064559,0,0,1,0,0,0,0,0,0
2096,6.892857703303769,75.15732,48.332603,59.987999502399454,67.66849314030527,49.76572663879462,0,0,1,0,0,0,0,0,0
2097,7.181755529937967,74.14267,49.214916,60.0184052858416,67.70048659615173,50.19994006409071,0,0,1,0,0,0,0,0,0
2098,13.506039526420532,75.83737,49.741272,60.793349567791715,68.51589547108523,50.45897607703073,0,0,1,0,0,0,0,0,0
2099,4.030500639806986,76.35394,47.792133,60.15860332635662,67.84800523606808,49.49974469137939,0,0,1,0,0,0,0,0,0
2100,7.913884147679507,75.21368,47.26545,59.565959906273974,67.2244162688842,49.24054775165934,0,0,1,0,0,0,0,0,0
